"","artists","track_name","duration_ms","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"22985","U2","Angel Of Harlem",229267,59,0.519,0.694,0,-10.792,1,0.0264,0.104,2.3e-06,0.111,0.928,102.718
"22986","Vicente Fernández","Por Tu Maldito Amor",236480,59,0.53,0.292,9,-7.452,1,0.0342,0.772,0,0.31,0.393,82.586
"22987","Tone-Loc","Wild Thing",263573,59,0.943,0.685,7,-11.903,1,0.188,0.000507,8.56e-06,0.0604,0.813,125.515
"22988","Robert Schumann, Ivan Moravec","Kinderszenen, Op. 15: No. 7 in F Major, Träumerei",186840,59,0.5,0.0123,5,-30.17,1,0.0712,0.995,0.954,0.0748,0.313,130.128
"22989","Bad Religion","You",126520,59,0.319,0.995,0,-2.94,1,0.0848,0.000653,0,0.274,0.334,155.232
"22990","Stevie Nicks","Rooms on Fire",274520,59,0.615,0.921,9,-4.676,0,0.041,0.0731,0.000179,0.443,0.744,126.947
"22991","Stan Getz, João Gilberto, Antônio Carlos Jobim","Para Machuchar Meu Coracao",304827,59,0.612,0.156,3,-15.823,1,0.0396,0.962,0.0026,0.102,0.415,131.09
"22992","Cocteau Twins","Heaven Or Las Vegas",298400,59,0.215,0.801,7,-5.46,1,0.0379,8.84e-05,0.00725,0.0808,0.401,180.09
"22993","The Highwaymen, Willie Nelson, Johnny Cash, Waylon Jennings, Kris Kristofferson","American Remains",247000,59,0.683,0.495,10,-13.877,0,0.0422,0.47,6.98e-05,0.157,0.528,102
"22994","Mariah Carey","Vision of Love",209293,59,0.256,0.464,5,-10.959,1,0.0382,0.433,0,0.121,0.355,205.362
"22995","Los Temerarios","Te Quiero",192800,59,0.563,0.334,2,-13.963,1,0.0292,0.507,2.89e-05,0.0995,0.412,79.168
"22996","John Williams, Boston Pops Orchestra","Main Title ""Somewhere in My Memory"" (From ""Home Alone"") - Voice",293533,59,0.164,0.0719,2,-18.535,1,0.0355,0.969,0.317,0.0788,0.0784,74.352
"22997","Salt-N-Pepa","Let's Talk About Sex",213267,59,0.863,0.543,6,-13.497,1,0.13,0.0507,0,0.241,0.799,106.929
"22998","Bad Religion","21st Century (Digital Boy)",169013,59,0.447,0.979,5,-3.742,1,0.0565,6.71e-05,0,0.316,0.633,133.685
"22999","Jerry Rivera","Cara de Niño",295640,59,0.752,0.663,5,-9.019,0,0.0459,0.547,0,0.068,0.961,92.829
"23000","Toad The Wet Sprocket","All I Want",196116,59,0.6,0.811,5,-7.693,1,0.0788,0.0558,6.82e-06,0.109,0.622,124.303
"23001","A Tribe Called Quest","Scenario",250133,59,0.795,0.6,2,-14.004,1,0.341,0.112,0.000171,0.111,0.633,101.78
"23002","Alice Cooper","Feed My Frankenstein",284693,59,0.531,0.917,0,-8.033,1,0.0554,0.00362,0.000347,0.239,0.393,101.829
"23003","Nat King Cole","Orange Colored Sky",153867,59,0.535,0.24,10,-15.198,1,0.085,0.92,0,0.111,0.49,128.547
"23004","A Tribe Called Quest","Jazz (We've Got)",250240,59,0.822,0.479,11,-15.962,1,0.271,0.719,4.42e-05,0.124,0.72,92.461
"23005","Heavy D & The Boyz, Aaron Hall","Now That We Found Love",258200,59,0.744,0.697,8,-14.753,1,0.0631,0.039,0,0.171,0.683,119.955
"23006","La Mafia","Un Millon de Rosas",209040,59,0.763,0.565,10,-8.096,1,0.0613,0.206,5.39e-06,0.0798,0.914,86.042
"23007","Antonio Aguilar","Que Me Entierren Con La Banda",187907,59,0.665,0.494,8,-7.432,1,0.0861,0.645,0,0.372,0.963,96.288
"23008","Sublime","40oz. To Freedom",183000,59,0.688,0.489,0,-7.848,1,0.0378,0.00053,0.00292,0.143,0.364,94.27
"23009","Stone Temple Pilots","Sex Type Thing - 2017 Remaster",217813,59,0.404,0.925,9,-7.336,1,0.041,1.39e-06,0.628,0.0418,0.773,134.177
"23010","Travis Tritt","T-R-O-U-B-L-E",180160,59,0.297,0.982,7,-4.326,1,0.051,0.0133,0.000699,0.689,0.793,179.311
"23011","Barenaked Ladies","If I Had $1,000,000",266733,59,0.644,0.433,9,-14.016,1,0.113,0.378,0,0.101,0.761,80.161
"23012","Chalino Sanchez, Los Amables Del Norte","Prenda Del Alma",200690,59,0.414,0.514,8,-8.4,1,0.0405,0.676,4.19e-05,0.0579,0.789,170.933
"23013","Industria del Amor","Y Tú Con Él",217027,59,0.528,0.332,11,-13.434,1,0.0283,0.509,1.14e-05,0.335,0.668,99.192
"23014","Los Temerarios","Extrañándote",227133,59,0.646,0.443,2,-12.717,1,0.0259,0.129,0.0036,0.167,0.481,91.147
"23015","Tom Petty and the Heartbreakers","Christmas All Over Again",254200,59,0.521,0.831,9,-8.183,1,0.0326,0.0592,0,0.344,0.693,138.803
"23016","The Black Crowes","Remedy",322640,59,0.411,0.978,10,-3.801,0,0.0532,0.00138,3.97e-06,0.0782,0.353,160.478
"23017","Rage Against The Machine","Bullet In The Head",306680,59,0.431,0.855,9,-4.205,1,0.15,0.00673,0.00114,0.639,0.397,163.014
"23018","Rage Against The Machine","Killing In the Name",313667,59,0.457,0.779,7,-6.323,1,0.257,0.0185,2.04e-06,0.0247,0.734,86.573
"23019","Janet Jackson","Any Time, Any Place",428200,59,0.571,0.232,10,-11.309,1,0.0699,0.604,0.000246,0.119,0.207,128.785
"23020","Primus","My Name Is Mud",286933,59,0.714,0.869,11,-6.294,0,0.0565,0.00597,0.243,0.0959,0.439,98.511
"23021","Digable Planets","Rebirth Of Slick (Cool Like Dat)",261267,59,0.884,0.334,1,-18.943,0,0.228,0.0476,0.0588,0.107,0.571,98.315
"23022","Tag Team","Whoomp! There It Is",226027,59,0.8,0.639,4,-7.406,0,0.0439,0.00123,0,0.0803,0.45,129.443
"23023","TOOL","Prison Sex",296320,59,0.49,0.78,11,-8.535,0,0.131,0.000288,0.0197,0.108,0.388,108.138
"23024","Wu-Tang Clan","Da Mystery of Chessboxin'",287840,59,0.925,0.388,2,-10.508,1,0.419,0.334,0,0.332,0.359,105.056
"23025","Snoop Dogg, Daz Dillinger","Murder Was The Case (feat. Dat Nigga Daz)",218187,59,0.47,0.83,9,-5.35,1,0.115,0.00474,0,0.339,0.587,90.967
"23026","Banda Machos","Mi luna, mi estrella",207920,59,0.861,0.534,5,-7.197,1,0.0303,0.521,0.000518,0.291,0.97,111.774
"23027","Snoop Dogg","Tha Shiznit",280600,59,0.769,0.691,4,-4.59,0,0.0563,0.00197,0,0.298,0.681,96.792
"23028","The Five Satins","In The Still of the Night",187667,59,0.43,0.33,6,-10.621,1,0.0353,0.876,0,0.105,0.316,108.824
"23029","Slowdive","When the Sun Hits",285907,59,0.33,0.532,2,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512
"23030","Mariah Carey","Dreamlover",232960,59,0.701,0.705,5,-6.18,1,0.0357,0.18,0,0.141,0.71,100.669
"23031","Slowdive","Alison",230987,59,0.276,0.449,4,-11.428,1,0.0375,0.00782,0.783,0.108,0.278,101.687
"23032","Mi Banda El Mexicano","Mambo Lupita",214988,59,0.937,0.896,0,-6.044,1,0.04,0.156,0.000403,0.0303,0.965,135.085
"23033","Los Invasores De Nuevo León","Playa Sola",175667,59,0.784,0.645,2,-9.94,1,0.0305,0.241,0.000128,0.0299,0.968,105.384
"23034","Lords Of The Underground","Chief Rocka",247400,59,0.89,0.716,1,-9.673,1,0.296,0.174,0.000589,0.0657,0.656,99.987
"23035","Pearl Jam","Rearviewmirror (Remastered)",283467,59,0.373,0.961,11,-5.387,0,0.0657,0.00146,0.000374,0.351,0.437,158.863
"23036","Mazzy Star","Into Dust",336760,59,0.415,0.132,7,-18.839,1,0.0353,0.94,0.137,0.113,0.122,169.006
"23037","Vicente Fernández","Lástima Que Seas Ajena",257267,59,0.478,0.336,9,-8.84,1,0.0371,0.592,0,0.146,0.585,110.881
"23038","Boyz II Men","On Bended Knee",329800,59,0.631,0.516,8,-8.225,1,0.0353,0.413,0,0.115,0.18,116.654
"23039","Clay Walker","If I Could Make a Living",134373,59,0.599,0.75,5,-6.767,1,0.0319,0.188,0,0.314,0.909,156.002
"23040","Lisa Loeb","Stay (I Missed You)",184333,59,0.612,0.591,1,-7.02,1,0.051,0.462,0,0.111,0.349,160.659
"23041","OutKast","Player's Ball",261267,59,0.857,0.764,1,-6.304,1,0.246,0.0398,0,0.425,0.578,93.071
"23042","King Floyd","Groove Me",184467,59,0.913,0.481,11,-8.459,1,0.0998,0.392,7.48e-05,0.0279,0.878,103.62
"23043","Live","All Over You",239547,59,0.32,0.835,1,-5.902,1,0.0572,0.00463,1.06e-06,0.294,0.352,132.105
"23044","The Smashing Pumpkins","Landslide - Remastered",190587,59,0.422,0.208,10,-15.886,1,0.0318,0.896,0.0265,0.192,0.354,111.549
"23045","Travis Tritt","Here's a Quarter (Call Someone Who Cares)",152640,59,0.654,0.537,7,-8.067,1,0.0257,0.196,0,0.119,0.597,112.437
"23046","311","Down",172160,59,0.441,0.922,6,-6.644,0,0.0655,0.000179,1.97e-06,0.381,0.565,175.411
"23047","Elton John","Can You Feel The Love Tonight",240000,59,0.297,0.364,10,-9.261,1,0.0305,0.813,0.000761,0.0976,0.149,122.598
"23048","Jewel","Who Will Save Your Soul",239293,59,0.686,0.467,7,-9.712,1,0.0419,0.704,0.00103,0.13,0.753,126.179
"23049","Mad Season","River of Deceit",302907,59,0.455,0.29,0,-11.473,1,0.0288,0.0614,0.00225,0.101,0.169,88.523
"23050","Jodeci","Freek'n You",379240,59,0.709,0.52,5,-9.365,0,0.0301,0.0682,0,0.0629,0.453,134.173
"23051","Rancid","Ruby Soho",157533,59,0.505,0.938,7,-5.381,1,0.0432,0.0201,0.00218,0.177,0.961,161.842
"23052","Ben Harper","Burn One Down",211627,59,0.857,0.404,5,-10.669,1,0.0444,0.573,0.733,0.0958,0.302,105.068
"23053","The Penguins","Earth Angel (Will You Be Mine)",179427,59,0.524,0.177,8,-12.306,1,0.0302,0.865,0,0.21,0.466,69.125
"23054","George Strait","I Can Still Make Cheyenne",256067,59,0.585,0.39,3,-10.233,1,0.0266,0.68,0.000769,0.0919,0.237,109.514
"23055","Trace Adkins","Every Light In The House",179600,59,0.637,0.472,5,-7.295,1,0.0271,0.539,0,0.446,0.349,129.236
"23056","Ricochet","Daddy's Money",182462,59,0.698,0.861,2,-4.756,1,0.0289,0.189,0,0.0602,0.941,134.726
"23057","Shenandoah","Two Dozen Roses",204333,59,0.687,0.648,4,-9.137,1,0.027,0.314,1.37e-06,0.289,0.6,121.341
"23058","Duncan Sheik","Barely Breathing",254547,59,0.482,0.807,0,-6.976,1,0.0457,0.0281,0,0.177,0.516,187.918
"23059","Los Del Rio","Macarena",249382,59,0.927,0.721,8,-12.561,1,0.0908,0.422,4.36e-05,0.0422,0.965,103.018
"23060","Mazzy Star","Look On Down From The Bridge",287893,59,0.37,0.0772,0,-19.322,1,0.0414,0.642,0.69,0.112,0.0954,119.942
"23061","Glenn Miller","In the Mood",211587,59,0.645,0.398,8,-12.208,1,0.11,0.854,0.306,0.0731,0.705,82.768
"23062","Los Tigres Del Norte","Cuestion Olvidada",208333,59,0.767,0.47,0,-9.89,1,0.0328,0.22,0.00405,0.2,0.98,110.573
"23063","Los Mier","Te Amo",175373,59,0.493,0.636,6,-8.487,0,0.0322,0.184,2.16e-05,0.199,0.837,178.775
"23064","John Michael Montgomery","Be My Baby Tonight",170533,59,0.634,0.774,9,-7.651,1,0.0384,0.226,2.16e-05,0.397,0.927,156.828
"23065","Elliott Smith","Between the Bars",141200,59,0.519,0.0774,7,-23.593,0,0.0629,0.937,0.886,0.107,0.353,135.245
"23066","Jagged Edge","I Gotta Be",215267,59,0.719,0.362,9,-11.547,1,0.0276,0.651,0,0.114,0.58,109.915
"23067","Joe","All The Things (Your Man Won't Do)",380533,59,0.573,0.679,3,-6.774,0,0.0423,0.247,0,0.321,0.648,66.215
"23068","Erykah Badu","Next Lifetime",386627,59,0.643,0.413,8,-11.929,0,0.0565,0.129,0.00105,0.0949,0.339,130.026
"23069","Camp Lo","Luchini AKA This Is It",240093,59,0.721,0.949,6,-5.685,1,0.278,0.0495,0,0.327,0.835,83.028
"23070","Julie Andrews","Stay Awake - From ""Mary Poppins""/Soundtrack Version",105440,59,0.321,0.0331,10,-30.093,1,0.047,0.872,2.65e-06,0.109,0.182,90.758
"23071","The Notorious B.I.G.","Going Back to Cali - 2014 Remaster",307427,59,0.851,0.647,9,-5.847,1,0.339,0.207,0,0.0447,0.596,99.17
"23072","KRS-One","Step into a World (Rapture's Delight)",289907,59,0.803,0.806,0,-7.805,1,0.265,0.00763,0.00536,0.101,0.618,94.993
"23073","Yo La Tengo","Green Arrow",343800,59,0.174,0.151,7,-19.387,0,0.0334,0.797,0.824,0.0871,0.0785,174.264
"23074","Caballo Dorado","Payaso de rodeo",254667,59,0.682,0.844,9,-9.452,1,0.036,0.0319,0.00162,0.0536,0.891,115.883
"23075","Radiohead","Subterranean Homesick Alien",267693,59,0.316,0.592,0,-8.916,1,0.0296,0.0498,0.00139,0.103,0.32,150.537
"23076","JAY-Z, Amil, Ja Rule","Can I Get A...",309773,59,0.792,0.694,8,-8.496,0,0.33,0.0619,2.32e-05,0.25,0.804,177.094
"23077","Jermaine Dupri, JAY-Z","Money Ain't a Thang (feat. Jay-Z)",254253,59,0.854,0.738,6,-7.284,0,0.244,0.0581,0,0.106,0.847,100
"23078","Neutral Milk Hotel","King of Carrot Flowers Pt. 1",120427,59,0.419,0.519,5,-6.47,1,0.0334,0.11,0.889,0.409,0.343,94.044
"23079","The Goo Goo Dolls","Black Balloon",249533,59,0.339,0.625,1,-8.57,1,0.028,0.057,0.000102,0.229,0.334,104.68
"23080","Less Than Jake","All My Best Friends Are Metalheads",211400,59,0.582,0.91,4,-4.566,1,0.107,0.0755,1.03e-06,0.0992,0.733,92.179
"23081","Mulatu Astatke","Tezeta (Nostalgia)",376640,59,0.547,0.356,5,-10.199,0,0.0366,0.954,0.917,0.0891,0.504,81.032
"23082","Monica","For You I Will",294867,59,0.652,0.473,0,-7.981,0,0.0313,0.243,0,0.134,0.368,123.208
"23083","The Beta Band","Dry the Rain",366827,59,0.593,0.626,4,-11.287,1,0.0317,0.0931,0.166,0.218,0.753,150.483
"23084","Ms. Lauryn Hill","Everything Is Everything",293267,59,0.824,0.707,9,-7.893,1,0.285,0.415,0,0.106,0.847,94.708
"23085","Elliott Smith","Waltz #2 (XO)",280107,59,0.633,0.49,10,-7.668,1,0.0255,0.395,6.92e-05,0.0886,0.66,132.178
"23086","Cardenales De Nuevo León","Compréndala",206733,59,0.782,0.647,2,-8.59,1,0.0678,0.454,0,0.101,0.813,102.39
"23087","System Of A Down","War?",160493,59,0.365,0.939,8,-3.523,1,0.0831,0.0831,5.58e-05,0.0947,0.527,98.646
"23088","Case, Joe","Faded Pictures",229773,59,0.705,0.511,6,-7.422,0,0.202,0.125,1.72e-06,0.153,0.581,82.011
"23089","Kenny Chesney","How Forever Feels",188200,59,0.723,0.674,7,-7.427,1,0.0297,0.0986,1.83e-05,0.279,0.61,124.9
"23090","LEN","Steal My Sunshine",265533,59,0.413,0.829,4,-11.111,1,0.529,0.394,0,0.108,0.677,191.477
"23091","Toby Keith","How Do You Like Me Now?!",209067,59,0.648,0.667,0,-8.986,1,0.0311,0.0534,6.94e-06,0.0908,0.669,109.609
"23092","Counting Crows","Hanginaround",247333,59,0.503,0.785,0,-6.571,1,0.0743,0.295,0,0.744,0.734,91.464
"23093","Aaliyah","I Don't Wanna",255093,59,0.702,0.573,9,-5.69,0,0.0344,0.526,0,0.23,0.693,129.999
"23094","Perry Como","(There's No Place Like) Home for the Holidays - 1954 Version",171333,59,0.69,0.188,0,-12.797,1,0.0316,0.897,0,0.133,0.736,78.043
"23095","Faith Hill","The Way You Love Me",186067,59,0.627,0.716,2,-7.175,1,0.0352,0.127,0,0.0344,0.734,101.99
"23096","702","Where My Girls At",166693,59,0.705,0.725,4,-7.435,1,0.0506,0.0352,0.0149,0.194,0.76,92.186
"23097","""Rosie ODonnell"", Phil Collins, Cast - Tarzan","Trashin' The Camp",135467,59,0.751,0.719,6,-8.19,1,0.144,0.167,0.0461,0.38,0.568,97.063
"23098","Slick Rick, OutKast","Street Talkin'",221200,59,0.934,0.495,5,-7.483,0,0.346,0.0544,0,0.0934,0.836,101.781
"23099","Los Caminantes","Amor Sin Palabras",193880,59,0.621,0.795,3,-5.31,1,0.0287,0.231,0,0.164,0.784,96.801
"23100","The Magnetic Fields","The Book of Love",162413,59,0.484,0.262,7,-13.286,1,0.0263,0.978,5.99e-05,0.117,0.332,98.516
"23101","Musiq Soulchild","Just Friends (Sunny)",251427,59,0.754,0.376,0,-7.561,1,0.204,0.404,0,0.358,0.554,95.018
"23102","Barenaked Ladies","Pinch Me",285160,59,0.68,0.857,7,-4.132,1,0.0373,0.0151,2.88e-05,0.056,0.794,95.349
"23103","Nelly","E.I.",285907,59,0.834,0.481,2,-7.824,0,0.188,0.0732,0,0.0934,0.406,89.849
"23104","Jagged Edge","He Can't Love U",244053,59,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279
"23105","Switchfoot","Dare You To Move",247893,59,0.426,0.881,4,-4.526,1,0.0404,0.00573,0.0693,0.389,0.259,139.986
"23106","Mala Fe","La Vaca",255533,59,0.738,0.927,9,-5.439,1,0.101,0.23,0.00515,0.684,0.665,170.011
"23107","Rage Against The Machine","How I Could Just Kill a Man",244693,59,0.598,0.939,7,-3.663,1,0.105,0.00114,9.26e-06,0.288,0.63,95.884
"23108","Yo La Tengo","You Can Have It All",276640,59,0.515,0.833,4,-9.409,1,0.0362,0.637,0.944,0.302,0.965,178.471
"23109","Eminem","Marshall Mathers",321267,59,0.729,0.759,11,-3.177,0,0.127,0.0361,0,0.0694,0.268,95.935
"23110","Eminem","I'm Back",309760,59,0.878,0.595,11,-3.924,0,0.203,0.0146,6.8e-05,0.328,0.851,89.995
"23111","Next","Wifey - Club Mix/Dirty Version",243467,59,0.831,0.713,7,-6.967,0,0.104,0.0678,0,0.0659,0.683,99.584
"23112","Cross Canadian Ragweed","Boys From Oklahoma",354400,59,0.431,0.796,7,-7.676,1,0.0356,0.00799,2.37e-05,0.916,0.726,112.573
"23113","Daryl Hall & John Oates","Out of Touch",249573,59,0.806,0.649,9,-9.004,0,0.0347,0.0391,5.55e-05,0.0557,0.897,114.834
"23114","Brad Paisley","I'm Gonna Miss Her",194307,59,0.559,0.464,6,-9.687,1,0.0272,0.55,0,0.107,0.351,98.354
"23115","No Doubt, Lady Saw","Underneath It All",302720,59,0.729,0.731,4,-4.823,1,0.0682,0.235,1.35e-06,0.391,0.838,138.204
"23116","Disturbing Tha Peace, Ludacris, Mystikal, I-20","Move Bitch",270867,59,0.777,0.764,1,-5.681,1,0.141,0.243,0,0.103,0.174,177.868
"23117","Maxwell","This Woman's Work",240320,59,0.467,0.329,8,-9.165,1,0.0326,0.676,3.69e-05,0.108,0.141,113.643
"23118","Pat Benatar","Love Is A Battlefield",245400,59,0.669,0.633,2,-11.903,0,0.049,0.0137,0.0178,0.0979,0.862,90.626
"23119","Jack Johnson","Bubble Toes",238603,59,0.606,0.517,7,-11.507,1,0.116,0.666,0.0209,0.377,0.685,93.88
"23120","JAY-Z","Heart Of The City (Ain't No Love)",223240,59,0.606,0.943,6,-3.948,1,0.276,0.088,0.0039,0.342,0.802,171.027
"23121","Pixies","Wave of Mutilation (UK Surf)",180133,59,0.642,0.355,5,-14.196,1,0.0328,0.094,3.42e-05,0.0865,0.724,180.258
"23122","Cam’ron, Juelz Santana, Freekey Zeekey, Toya","Hey Ma",232533,59,0.791,0.666,8,-5.484,1,0.341,0.0256,6.33e-06,0.0796,0.938,90.345
"23123","Kenny Chesney","No Shoes, No Shirt, No Problems",209667,59,0.719,0.546,7,-10.239,1,0.032,0.243,0.00844,0.181,0.669,117.925
"23124","Sheryl Crow","Soak Up The Sun",292307,59,0.717,0.733,4,-4.985,1,0.0427,0.0398,0,0.136,0.713,119.996
"23125","Mark Wills","19 Somethin' - Greatest Hits Version",200467,59,0.58,0.816,4,-5.165,1,0.0726,0.132,0,0.0776,0.814,89.938
"23126","Alan Jackson","Drive (For Daddy Gene)",242733,59,0.713,0.579,11,-8.066,1,0.0413,0.338,0,0.174,0.511,125.179
"23127","Floetry","Say Yes",268373,59,0.747,0.398,5,-12.932,0,0.0743,0.211,1.42e-06,0.113,0.428,117.901
"23128","""Martin ODonnell"", Michael Salvatori","Halo",262160,59,0.332,0.418,0,-14.26,1,0.0439,0.255,0.883,0.0976,0.0369,99.948
"23129","Tracy Byrd","Drinkin' Bone",131867,59,0.77,0.833,5,-4.536,1,0.028,0.0793,0,0.0819,0.964,109.928
"23130","Pat Green","Wave on Wave",244373,59,0.671,0.755,2,-5.274,1,0.0252,0.178,2.64e-05,0.0675,0.362,103.552
"23131","Toby Keith","American Soldier",263333,59,0.565,0.541,9,-8.426,1,0.0376,0.193,3.45e-06,0.0582,0.226,82.006
"23132","Brand New","The Quiet Things That No One Ever Knows",241640,59,0.202,0.797,6,-5.809,1,0.0729,0.0163,3.83e-06,0.0986,0.246,80.284
"23133","Los Morros Del Norte","La Botella (Dos Botellas De Mescal)",174693,59,0.786,0.605,7,-7.018,1,0.0827,0.197,0,0.161,0.922,115.71
"23134","AFI","Girl's Not Grey",190493,59,0.389,0.905,8,-4.494,0,0.0354,0.00844,0.00016,0.124,0.672,121.836
"23135","Train","Calling All Angels",242200,59,0.454,0.839,3,-5.368,1,0.0441,0.0746,0,0.279,0.529,166.166
"23136","Fabolous, Ashanti","Into You (feat. Ashanti)",274333,59,0.726,0.568,7,-8.358,0,0.0298,0.179,0,0.0488,0.631,91.906
"23137","Kelly Clarkson","A Moment Like This",228280,59,0.414,0.572,8,-3.918,1,0.0311,0.163,0,0.115,0.16,145.184
"23138","A Perfect Circle","Weak And Powerless",195133,59,0.483,0.841,1,-7.494,0,0.0523,0.000172,0.861,0.108,0.13,159.747
"23139","Death Cab for Cutie","Transatlanticism",475093,59,0.44,0.446,9,-9.928,1,0.031,0.39,0.569,0.179,0.201,127.372
"23140","Billy Idol, Generation X","Dancing with Myself - 2001 Remaster",227400,59,0.387,0.886,4,-6.981,1,0.0617,5.83e-05,0.275,0.219,0.757,176.426
"23141","Lil Wayne","Go DJ",281827,59,0.736,0.792,6,-3.137,1,0.146,0.0617,0,0.223,0.699,157.955
"23142","Gretchen Wilson","Here for the Party",196760,59,0.656,0.717,0,-4.871,1,0.0279,0.0127,1.22e-05,0.904,0.809,123.988
"23143","Young Buck","Shorty Wanna Ride",261320,59,0.582,0.621,11,-6.183,0,0.283,0.00317,0,0.111,0.331,179.458
"23144","Rise Against","Swing Life Away",200067,59,0.477,0.426,6,-6.961,1,0.043,0.544,0,0.0903,0.789,184.866
"23145","Keith Urban","Days Go By",224630,59,0.589,0.892,2,-3.197,1,0.0365,0.0633,0,0.149,0.76,131.951
"23146","Ray LaMontagne","Trouble",241547,59,0.321,0.425,7,-12.73,1,0.0455,0.342,0.000262,0.23,0.493,173.24
"23147","Kanye West","We Don't Care",239880,59,0.595,0.754,11,-5.827,0,0.181,0.0142,0,0.247,0.647,83.155
"23148","Lloyd Banks","Karma",278533,59,0.605,0.829,10,-2.377,0,0.444,0.0392,0,0.196,0.708,176.103
"23149","Kanye West, GLC, Consequence","Spaceship",324227,59,0.507,0.753,5,-5.31,0,0.19,0.503,0,0.573,0.657,178.068
"23150","Brandy, MC Lyte, Queen Latifah, Yo Yo","I Wanna Be Down (feat. Queen Latifah, Yo-Yo & MC Lyte) - Remix",256667,59,0.893,0.433,11,-5.88,0,0.396,0.33,0,0.395,0.675,86.01
"23151","Panic! At The Disco","Build God, Then We'll Talk",220720,59,0.418,0.828,11,-4.132,0,0.0475,0.136,0,0.336,0.448,124.783
"23152","Jason Aldean","Amarillo Sky",202547,59,0.491,0.776,2,-3.887,1,0.0393,0.314,0,0.146,0.428,154.988
"23153","Mike Jones","Back Then",244187,59,0.776,0.736,9,-6.308,1,0.255,0.0101,0,0.18,0.536,159.838
"23154","Jason Aldean","Hicktown",306027,59,0.697,0.877,6,-3.885,1,0.0348,0.00913,6.93e-06,0.0726,0.768,121.534
"23155","Miranda Lambert","Kerosene",185800,59,0.628,0.92,7,-3.252,1,0.0287,0.00687,5.34e-05,0.337,0.808,126.998
"23156","Rehab, Steaknife","1980",199987,59,0.764,0.642,2,-5.234,1,0.0867,0.0644,0,0.142,0.328,107.84
"23157","Ying Yang Twins","Wait (The Whisper Song)",179160,59,0.933,0.513,7,-13.203,1,0.347,0.00112,0.00248,0.107,0.595,102.017
"23158","Say Anything","Alive With the Glory of Love",255175,59,0.338,0.93,9,-4.619,1,0.131,0.0111,0,0.172,0.589,203.101
"23159","The Mountain Goats","This Year",232893,59,0.699,0.719,9,-9.481,1,0.0312,0.118,0.00259,0.0913,0.831,138.958
"23160","Tally Hall","Ruler of Everything",222107,59,0.58,0.791,11,-7.604,0,0.324,0.196,0.00326,0.0793,0.343,83.323
"23161","Tech N9ne","The Beast",219573,59,0.703,0.909,5,-4.205,0,0.46,0.287,0,0.401,0.777,204.208
"23162","Rodney Atkins","If You're Going Through Hell (Before The Devil Even Knows)",216773,59,0.566,0.898,9,-3.659,1,0.0634,0.0613,0,0.126,0.791,115.954
"23163","Fergie","Clumsy",240427,59,0.731,0.563,2,-4.046,1,0.131,0.191,0.00042,0.296,0.452,184.009
"23164","Tracy Lawrence, Tim McGraw, Kenny Chesney, Brad Arnold","Find out Who Your Friends Are",227840,59,0.524,0.797,2,-4.777,1,0.0329,0.209,0,0.286,0.783,159.859
"23165","Five Finger Death Punch","The Pride",203813,59,0.493,0.987,4,-3.398,1,0.122,8.96e-06,0,0.231,0.354,103.979
"23166","Five Finger Death Punch","Coming Down",241227,59,0.305,0.991,1,-2.927,0,0.488,0.000619,0,0.11,0.187,76.374
"23167","Gorilla Zoe","Hood Nigga",200933,59,0.875,0.732,1,-5.135,1,0.0635,0.0198,0,0.11,0.159,87.142
"23168","Spoon","The Underdog",222107,59,0.693,0.527,7,-10.856,1,0.0365,0.0667,0.00143,0.663,0.911,145.165
"23169","Colbie Caillat","Realize",244107,59,0.693,0.594,1,-6.408,1,0.0325,0.13,0,0.115,0.192,123.932
"23170","Luke Bryan","All My Friends Say",242800,59,0.683,0.9,9,-4.422,1,0.0333,0.0439,0,0.177,0.962,117.036
"23171","Steven Curtis Chapman","Cinderella",265253,59,0.351,0.447,10,-7.737,1,0.0315,0.641,0,0.164,0.305,103.03
"23172","T-Pain, Lil Wayne","Can't Believe It (feat. Lil' Wayne)",273827,59,0.648,0.516,10,-8.869,0,0.049,0.00179,0,0.0772,0.0756,89.828
"23173","Chris Cagle","What Kinda Gone",181613,59,0.494,0.861,5,-5.236,1,0.0365,0.257,0,0.103,0.668,172.052
"23174","Zac Brown Band","Highway 20 Ride",229280,59,0.55,0.402,3,-7.195,1,0.0339,0.551,1.38e-05,0.105,0.428,76.105
"23175","James Otto","Just Got Started Lovin' You",234640,59,0.705,0.606,7,-7.047,1,0.0243,0.159,0.00149,0.242,0.876,98.001
"23176","Lil Wayne, T-Pain","Got Money",244627,59,0.694,0.661,7,-4.847,1,0.118,0.00188,0,0.676,0.702,82.48
"23177","The Wood Brothers","Postcards From Hell",284862,59,0.465,0.242,9,-10.46,1,0.0298,0.955,0.0223,0.126,0.315,102.812
"23178","Musiq Soulchild","sobeautiful",291133,59,0.689,0.562,7,-7.048,0,0.0637,0.0656,0,0.0885,0.21,133.987
"23179","Five Finger Death Punch","Far From Home",212493,59,0.464,0.688,11,-5.352,0,0.0298,0.00149,3.85e-06,0.169,0.228,137.882
